"DateTime","2021 All-Star Game"
"2021-04-06 03:05:47",9924
"2021-04-06 04:05:40",9985
"2021-04-06 05:05:42",9979
"2021-04-06 06:05:44",9993
"2021-04-06 07:05:46",9985
"2021-04-06 08:05:56",9990
"2021-04-06 09:06:11",9959
"2021-04-06 10:06:26",10025
"2021-04-06 11:06:36",9978
"2021-04-06 12:06:47",9950
"2021-04-06 13:07:06",9938
"2021-04-06 14:06:45",9801
"2021-04-06 15:07:03",9876
"2021-04-06 16:06:40",9897
"2021-04-06 17:06:25",9925
"2021-04-06 18:06:15",9980
"2021-04-06 19:06:15",9976
"2021-04-06 20:06:27",9980
"2021-04-06 21:06:25",9850
"2021-04-06 22:06:54",9844
"2021-04-06 23:06:21",9932
"2021-04-07 00:06:21",9946
"2021-04-07 01:06:04",9913
"2021-04-07 02:06:04",9936
"2021-04-07 03:06:00",9930
"2021-04-07 04:06:09",9930
"2021-04-07 05:06:01",9934
"2021-04-07 06:06:06",9924
"2021-04-07 07:06:04",9980
"2021-04-07 08:06:18",9943
"2021-04-07 09:06:19",9932
"2021-04-07 10:06:44",9909
"2021-04-07 11:06:57",9902
"2021-04-07 12:07:03",9902
"2021-04-07 13:07:05",9902
"2021-04-07 14:06:53",9902
"2021-04-07 15:06:50",9902
"2021-04-08 01:06:14",9972
"2021-04-08 02:06:16",9928
"2021-04-08 03:07:58",9960
"2021-04-08 04:07:55",9958
"2021-04-08 05:06:04",9953
"2021-04-08 06:06:11",9947
"2021-04-08 07:06:14",9963
"2021-04-08 08:06:22",9964
"2021-04-08 09:06:27",9961
"2021-04-08 10:06:33",9976
"2021-04-08 11:07:05",9944
"2021-04-08 12:07:21",9977
"2021-04-08 13:06:54",9959
"2021-04-08 14:06:48",9942
"2021-04-08 15:06:42",9942
"2021-04-08 16:06:46",9918
"2021-04-08 17:06:29",9920
"2021-04-08 18:06:37",9872
"2021-04-08 19:06:34",9848
"2021-04-08 20:06:41",9856
"2021-04-08 21:06:39",9792
"2021-04-08 22:06:43",9800
"2021-04-08 23:06:33",9799
"2021-04-09 00:06:27",9797
"2021-04-09 01:06:26",9785
"2021-04-09 02:06:14",9783
"2021-04-09 03:06:11",9783
"2021-04-09 04:06:09",9797
"2021-04-09 05:06:11",9795
"2021-04-09 06:06:10",9800
"2021-04-09 07:06:17",9789
"2021-04-09 08:06:30",9779
"2021-04-09 09:06:26",9732
